Aprimore suas habilidades Quem quer chá?,APRIMORAR SUA HABILIDADE CHÁ QUER [INTERROGAÇÃO]
O clima local é tropical e normalmente muito quente e úmido Afaste-se!,CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO AFASTAR [EXCLAMAÇÃO]
O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Afaste-se!,CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE AFASTAR [EXCLAMAÇÃO]
Quem quer chá O carro é azul.,CHÁ QUER CARRO  AZUL [PONTO]
Alguém vai comer isso Ele veio!,ALGUÉM COMER ELE VIR [INTERROGAÇÃO]
Afaste-se O celeiro está em chamas.,AFASTAR CELEIRO FOGO [PONTO]
Aonde ela foi ontem Eu assustei Tom.,AONDE ELA IR ONTEM ASSUSTAR TOM [PONTO]
Começo Beba seu leite.,COMEÇAR BEBER SEU LEITE [PONTO]
A culpa não é minha É provável que chova hoje.,CULPA MINHA NÃO CERTEZA CHOVER HOJE [PONTO]
Bom, agora você sabe Eu adoro ambas.,BOM AGORA VOCÊ SABER ADORO AMBOS [PONTO]
Ele veio Isso demorou meses.,ELE VIR DEMORAR MES [PONTO]
Cadê o meu carro Eu adoro ambas.,CADÊ MEU CARRO ADORO AMBOS [PONTO]
Bebe este suco O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte.,BEBER ESTE SUCO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE [PONTO]
Isso demorou meses Alguém tem de pagar o preço.,DEMORAR MES ALGUÉM PAGAR PREÇO [PONTO]
A minha cabeça dói O carro de Tom ficou sem gasolina.,CABEÇA DOER CARRO TOM SEM GASOLINA [PONTO]
Eu amo a minha filha Ele veio!,AMAR MEU FILHO ELE VIR [INTERROGAÇÃO]
É provável que chova hoje Foi complicado?,CERTEZA CHOVER HOJE DIFÍCIL [INTERROGAÇÃO]
Tenha cuidado com o Tom Não bata a porta.,CUIDADO TOM BATER PORTA NÃO [PONTO]
Eu confiei em você Barbear leva tempo.,CONFIAR VOCÊ BARBEAR DEMORAR [PONTO]
Beba seu leite Tem certeza?,BEBER SEU LEITE CERTEZA [INTERROGAÇÃO]
Ele sabe falar francês Leva tempo.,ELE SABER FALAR JAPONÊS DEMORAR [PONTO]
Eu como pão O carro é azul.,COMER PÃO CARRO  AZUL [PONTO]
O ar estava úmido Algumas pessoas se matam.,AR ÚMIDO ALGUMA PESSOA MATAR [PONTO]
O carro é azul Seja discreto.,CARRO  AZUL DISCRETO [PONTO]
Como é que sabemos isso Leva tempo.,COMO SABER DEMORAR [PONTO]
Barbear leva tempo Tenha cuidado com o Tom.,BARBEAR DEMORAR CUIDADO TOM [PONTO]
Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte.,DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE [PONTO]
Foi complicado O clima local é tropical e normalmente muito quente e úmido.,DIFÍCIL CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Seja discreto O carro é azul.,DISCRETO CARRO  AZUL [PONTO]
A criança quase se afogou A criança quase se afogou.,CRIANÇA QUASE AFOGAR  CRIANÇA QUASE AFOGAR  [PONTO]
Estou acostumado a isto Ele sabe falar francês?,ACUSTUMAR ELE SABER FALAR JAPONÊS [PONTO]
Como se soletra isso Como é que sabemos isso?,COMO SOLETRAR COMO SABER [INTERROGAÇÃO]
Leva tempo Foi complicado?,DEMORAR DIFÍCIL [INTERROGAÇÃO]
Amamos piqueniques Amamos piqueniques.,AMAR PIQUENIQUE AMAR PIQUENIQUE [PONTO]
Algumas pessoas se matam Ele veio!,ALGUMA PESSOA MATAR ELE VIR [INTERROGAÇÃO]
Comece Comece.,COMEÇAR COMEÇAR [PONTO]
Os agricultores estão plantado arroz Cadê o meu carro?,AGRICULTOR PLANTAR ARROZ CADÊ MEU CARRO [INTERROGAÇÃO]
Alguém tem de pagar o preço Eu amo a minha filha.,ALGUÉM PAGAR PREÇO AMAR MEU FILHO [PONTO]
Eu adoro ambas A minha cabeça dói.,ADORO AMBOS CABEÇA DOER [PONTO]
Como você a conheceu O clima local é tropical e normalmente muito quente e úmido.,COMO VOCÊ CONHECER CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Não bata a porta Cadê o meu carro?,BATER PORTA NÃO CADÊ MEU CARRO [INTERROGAÇÃO]
