Aprimore suas habilidades Quem quer chá Afaste-se!,APRIMORAR SUA HABILIDADE CHÁ QUER AFASTAR [EXCLAMAÇÃO]
O clima local é tropical e normalmente muito quente e úmido Afaste-se O carro é azul.,CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO AFASTAR CARRO  AZUL [PONTO]
O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Ele veio O celeiro está em chamas.,CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE ELE VIR CELEIRO FOGO [PONTO]
Quem quer chá Eu assustei Tom Beba seu leite.,CHÁ QUER ASSUSTAR TOM BEBER SEU LEITE [PONTO]
Alguém vai comer isso É provável que chova hoje Eu adoro ambas.,ALGUÉM COMER CERTEZA CHOVER HOJE ADORO AMBOS [PONTO]
Afaste-se Isso demorou meses Eu adoro ambas.,AFASTAR DEMORAR MES ADORO AMBOS [PONTO]
Aonde ela foi ontem O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Alguém tem de pagar o preço.,AONDE ELA IR ONTEM CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE ALGUÉM PAGAR PREÇO [PONTO]
Começo O carro de Tom ficou sem gasolina Ele veio!,COMEÇAR CARRO TOM SEM GASOLINA ELE VIR [INTERROGAÇÃO]
A culpa não é minha Foi complicado Não bata a porta.,CULPA MINHA NÃO DIFÍCIL BATER PORTA NÃO [PONTO]
Bom, agora você sabe Barbear leva tempo Tem certeza?,BOM AGORA VOCÊ SABER BARBEAR DEMORAR CERTEZA [INTERROGAÇÃO]
Ele veio Leva tempo O carro é azul.,ELE VIR DEMORAR CARRO  AZUL [PONTO]
Cadê o meu carro Algumas pessoas se matam Seja discreto.,CADÊ MEU CARRO ALGUMA PESSOA MATAR DISCRETO [PONTO]
Bebe este suco Leva tempo Tenha cuidado com o Tom.,BEBER ESTE SUCO DEMORAR CUIDADO TOM [PONTO]
Isso demorou meses O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte O clima local é tropical e normalmente muito quente e úmido.,DEMORAR MES CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
A minha cabeça dói O carro é azul A criança quase se afogou.,CABEÇA DOER CARRO  AZUL CRIANÇA QUASE AFOGAR  [PONTO]
Eu amo a minha filha Ele sabe falar francês Como é que sabemos isso?,AMAR MEU FILHO ELE SABER FALAR JAPONÊS COMO SABER [INTERROGAÇÃO]
É provável que chova hoje Foi complicado Amamos piqueniques.,CERTEZA CHOVER HOJE DIFÍCIL AMAR PIQUENIQUE [PONTO]
Tenha cuidado com o Tom Ele veio Comece.,CUIDADO TOM ELE VIR COMEÇAR [PONTO]
Eu confiei em você Cadê o meu carro Eu amo a minha filha.,CONFIAR VOCÊ CADÊ MEU CARRO AMAR MEU FILHO [PONTO]
Beba seu leite A minha cabeça dói O clima local é tropical e normalmente muito quente e úmido.,BEBER SEU LEITE CABEÇA DOER CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Ele sabe falar francês Cadê o meu carro Ele sabe falar francês?,ELE SABER FALAR JAPONÊS CADÊ MEU CARRO ELE SABER FALAR JAPONÊS [PONTO]
Eu como pão Cadê o meu carro A culpa não é minha.,COMER PÃO CADÊ MEU CARRO CULPA MINHA NÃO [PONTO]
O ar estava úmido Leva tempo Leva tempo.,AR ÚMIDO DEMORAR DEMORAR [PONTO]
O carro é azul O carro é azul Leva tempo.,CARRO  AZUL CARRO  AZUL DEMORAR [PONTO]
Como é que sabemos isso O carro de Tom ficou sem gasolina Comece.,COMO SABER CARRO TOM SEM GASOLINA COMEÇAR [PONTO]
Barbear leva tempo Cadê o meu carro Seja discreto.,BARBEAR DEMORAR CADÊ MEU CARRO DISCRETO [PONTO]
Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF O celeiro está em chamas.,DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF CELEIRO FOGO [PONTO]
Foi complicado Amamos piqueniques Como é que o seu filho se chama?,DIFÍCIL AMAR PIQUENIQUE COMO NOME SEU FILHO [INTERROGAÇÃO]
Seja discreto O carro é azul Alguém tem de pagar o preço.,DISCRETO CARRO  AZUL ALGUÉM PAGAR PREÇO [PONTO]
A criança quase se afogou O ar estava úmido O carro é azul.,CRIANÇA QUASE AFOGAR  AR ÚMIDO CARRO  AZUL [PONTO]
Estou acostumado a isto Seja discreto Ele veio!,ACUSTUMAR DISCRETO ELE VIR [INTERROGAÇÃO]
Como se soletra isso Como é que o seu filho se chama Barbear leva tempo.,COMO SOLETRAR COMO NOME SEU FILHO BARBEAR DEMORAR [PONTO]
Leva tempo Alguém pisou no meu pé O celeiro está em chamas.,DEMORAR ALGUÉM PISAR MEU PÉ CELEIRO FOGO [PONTO]
Amamos piqueniques A criança quase se afogou Eles estão felizes.,AMAR PIQUENIQUE CRIANÇA QUASE AFOGAR  ELES FELIZ [PONTO]
Algumas pessoas se matam Amamos piqueniques Eu amo a minha filha.,ALGUMA PESSOA MATAR AMAR PIQUENIQUE AMAR MEU FILHO [PONTO]
Comece Como se soletra isso Tenha cuidado com o Tom.,COMEÇAR COMO SOLETRAR CUIDADO TOM [PONTO]
Os agricultores estão plantado arroz Como se soletra isso Leva tempo.,AGRICULTOR PLANTAR ARROZ COMO SOLETRAR DEMORAR [PONTO]
Alguém tem de pagar o preço Leva tempo O ar estava úmido.,ALGUÉM PAGAR PREÇO DEMORAR AR ÚMIDO [PONTO]
Eu adoro ambas Eu assustei Tom A criança quase se afogou.,ADORO AMBOS ASSUSTAR TOM CRIANÇA QUASE AFOGAR  [PONTO]
Como você a conheceu A criança quase se afogou O ar estava úmido.,COMO VOCÊ CONHECER CRIANÇA QUASE AFOGAR  AR ÚMIDO [PONTO]
Não bata a porta Os agricultores estão plantado arroz Tem certeza?,BATER PORTA NÃO AGRICULTOR PLANTAR ARROZ CERTEZA [INTERROGAÇÃO]
Eles estão felizes Comece Tem certeza?,ELES FELIZ COMEÇAR CERTEZA [INTERROGAÇÃO]
